city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
yuxia,0,1586654835,CN,50,34.06,108.63,55.4,4.47
verkhoyansk,100,1586654836,RU,87,67.54,133.38,32.23,9.01
progreso,5,1586654836,MX,74,21.28,-89.67,82.4,4.7
kamenka,80,1586654836,RU,86,51.32,42.77,32.0,1.01
clyde river,40,1586654836,CA,91,70.47,-68.59,1.4,16.11
marzuq,1,1586654837,YE,49,14.4,46.47,71.33,4.16
riyadh,40,1586654837,SA,27,24.69,46.72,73.4,6.93
severo-yeniseyskiy,0,1586654837,RU,93,60.37,93.04,23.74,3.8
thunder bay,20,1586654639,CA,44,48.4,-89.32,39.99,10.29
ariquemes,71,1586654838,BR,92,-9.91,-63.04,75.78,1.25
pangody,100,1586654838,RU,95,65.85,74.49,16.88,6.96
coquimbo,99,1586654838,CL,87,-29.95,-71.34,59.0,5.82
thinadhoo,0,1586654838,MV,64,0.53,72.93,84.0,5.44
mogzon,0,1586654839,RU,32,51.74,111.96,48.09,4.05
cristobal obregon,75,1586654840,MX,38,16.35,-93.53,91.4,6.93
cairns,44,1586654718,AU,66,-16.92,145.77,89.01,4.7
beloha,100,1586654840,MG,70,-25.17,45.05,72.75,9.53
tabou,63,1586654667,CI,84,4.42,-7.35,79.23,1.7
phaltan,49,1586654840,IN,29,17.98,74.43,76.89,2.46
jonesboro,1,1586654841,US,59,35.84,-90.7,62.6,13.87
salalah,40,1586654841,OM,78,17.02,54.09,80.6,11.41
sassandra,95,1586654842,CI,83,4.95,-6.08,79.72,3.62
farah,100,1586654842,AF,41,32.5,62.5,67.35,4.65
kingsville,90,1586654842,US,83,27.52,-97.86,82.4,13.87
marsh harbour,62,1586654843,BS,82,26.54,-77.06,73.67,17.58
boshnyakovo,92,1586654843,RU,91,49.63,142.17,29.01,2.51
zaraza,69,1586654844,VE,56,9.35,-65.32,81.81,9.53
rio grande,0,1586654689,BR,95,-32.03,-52.1,57.0,9.75
hambantota,20,1586654844,LK,81,6.12,81.12,80.17,8.77
pervomaysk,31,1586654845,UA,66,48.04,30.85,39.52,6.87
binabalian,2,1586654845,PH,69,16.42,119.93,82.06,6.22
provideniya,100,1586654846,RU,93,64.38,-173.3,32.56,5.99
omboue,100,1586654846,GA,91,-1.57,9.26,76.73,10.78
malino,75,1586654846,PH,70,15.13,120.67,86.0,4.7
maues,99,1586654846,BR,94,-3.38,-57.72,75.09,1.72
aldan,100,1586654847,RU,77,58.6,125.39,32.83,3.8
ilulissat,95,1586654847,GL,73,69.22,-51.1,26.6,14.99
port augusta,3,1586654732,AU,63,-32.5,137.77,60.8,8.05
nova vicosa,36,1586654848,BR,86,-17.89,-39.37,78.28,7.78
vila franca do campo,20,1586654726,PT,76,37.72,-25.43,57.2,13.87
bilibino,94,1586654848,RU,88,68.05,166.44,13.98,3.67
